customer_unique_id,customer_city,customer_state,customer_segment,frequency,monetary,avg_order_value,recency_days,repeat_purchase_probability,expected_future_orders,expected_future_value,historical_clv,predicted_clv,clv_tier
0a0a92112bd4c708ca5fde585afaa872,rio de janeiro,RJ,Inactive Customers,1,13664.08,13664.08,384,0.13647513,0.15232209204204206,2081.341251429826,13664.08,15745.421251429827,Diamond
46450c74a0d8c5ca9395da1daac6c120,florianopolis,SC,VIP Customers,3,9553.02,3184.34,61,0.38973913,0.43499412407407406,1385.1691890540371,9553.02,10938.189189054037,Diamond
ff4159b92c40ebe40454e3e6a7c35ed6,marilia,SP,At-Risk Customers,1,6726.66,6726.66,511,0.4468236,0.49870702102102105,3354.6325700212615,6726.66,10081.292570021262,Diamond
763c8b1c9c68a0229c42c9fc6f662b93,vila velha,ES,High-Value Customers,1,7274.88,7274.88,95,0.32521233,0.36297472267267267,2640.597550476973,7274.88,9915.477550476973,Diamond
da122df9eeddfedc1dc1f5349a1a690c,araruama,RJ,At-Risk Customers,2,7571.63,3785.815,565,0.25423568,0.2837565397397398,1074.249764494803,7571.63,8645.879764494803,Diamond
dc4802a71eae9be1dd28f5d788ceb526,campo grande,MS,At-Risk Customers,1,6929.31,6929.31,612,0.13797721,0.15399858773773772,1067.1039539969834,6929.31,7996.413953996984,Diamond
459bef486812aa25204be022145caa62,vitoria,ES,High-Value Customers,1,6922.21,6922.21,84,0.081258684,0.09069412678678679,627.8037913847634,6922.21,7550.013791384763,Diamond
4007669dec559734d6f53e029e360987,divinopolis,MG,Inactive Customers,1,6081.54,6081.54,328,0.20475867,0.2285344515015015,1389.8414081844414,6081.54,7471.381408184441,Diamond
a229eba70ec1c2abef51f04987deb7a5,niteroi,RJ,VIP Customers,1,4445.5,4445.5,139,0.38669693,0.43159867562562565,1918.6719124937188,4445.5,6364.171912493719,Diamond
5d0a2980b292d049061542014e8960bf,goiania,GO,High-Value Customers,1,4809.44,4809.44,98,0.27341822,0.3051664817817818,1467.6798841405725,4809.44,6277.119884140572,Diamond
eebb5dda148d3893cdaf5b5ca3040ccb,maua,SP,At-Risk Customers,1,4764.34,4764.34,547,0.283527,0.31644905405405405,1507.670886191892,4764.34,6272.0108861918925,Diamond
931eabdf0636b8fd60369a8d759917d6,gaspar,SC,At-Risk Customers,1,3666.42,3666.42,526,0.5952666,0.6643866456456456,2435.920485328108,3666.42,6102.340485328108,Diamond
edde2314c6c30e864a128ac95d6b2112,sao paulo,SP,VIP Customers,1,4513.32,4513.32,75,0.28675315,0.32004981206206207,1444.487217775946,4513.32,5957.807217775946,Diamond
48e1ac109decbb87765a3eade6854098,joao pessoa,PB,High-Value Customers,1,4681.78,4681.78,118,0.21389152,0.23872777257257258,1117.6709110748188,4681.78,5799.450911074819,Diamond
58483a1c055dfb600f57c5b867174542,jundiai,SP,High-Value Customers,1,4034.44,4034.44,135,0.33128813,0.369756020970971,1491.7584812461241,4034.44,5526.198481246124,Diamond
fa562ef24d41361e476e748681810e1e,bom jesus do galho,MG,VIP Customers,1,4175.26,4175.26,203,0.28932655,0.3229220252752753,1348.283415250846,4175.26,5523.543415250846,Diamond
c8460e4251689ba205045f3ea17884a1,porto alegre,RS,VIP Customers,4,4655.91,1163.9775,71,0.5715483,0.6379142687687688,742.5178557757995,4655.91,5398.427855775799,Diamond
011875f0176909c5cf0b14a9138bb691,sao paulo,SP,Inactive Customers,1,4016.91,4016.91,578,0.30264378,0.3377856003003003,1356.8543557022792,4016.91,5373.764355702279,Diamond
f0767ae738c3d90e7b737d7b8b8bb4d1,rio de janeiro,RJ,VIP Customers,1,3979.55,3979.55,157,0.30798674,0.3437489640640641,1367.9661899411462,3979.55,5347.516189941147,Diamond
ca27f3dac28fb1063faddd424c9d95fa,nova lima,MG,VIP Customers,1,4163.51,4163.51,81,0.2532194,0.28262225325325324,1176.7005776424526,4163.51,5340.210577642452,Diamond
5d09b0d82126457e2a8ebfb9c9a1ffc4,brasilia,DF,Inactive Customers,1,3736.22,3736.22,615,0.34908432,0.38961863543543546,1455.7009380865825,3736.22,5191.920938086582,Diamond
be825ddd3b40db3f91bf05b4e9435d56,salvador,BA,VIP Customers,1,3122.72,3122.72,128,0.589202,0.6576178478478478,2053.556405831431,3122.72,5176.2764058314315,Diamond
adfa1cab2b2c8706db21bb13c0a1beb1,campo novo do parecis,MT,VIP Customers,1,3242.84,3242.84,138,0.5113912,0.57077195995996,1850.9221426365568,3242.84,5093.762142636557,Diamond
edf81e1f3070b9dac83ec83dacdbb9bc,brasilia,DF,At-Risk Customers,1,4194.76,4194.76,547,0.15616927,0.1743030390890891,731.1594162493474,4194.76,4925.919416249348,Diamond
055ec572ac7f3c7bdd04a183830ebe59,sao paulo,SP,At-Risk Customers,2,4053.08,2026.54,456,0.36703458,0.40965320990990994,830.1786160108289,4053.08,4883.2586160108285,Diamond
1b76903617af13189607a36b0469f6f3,sao luis,MA,High-Value Customers,1,3195.73,3195.73,149,0.47148582,0.5262329222222223,1681.6983365332223,3195.73,4877.428336533222,Diamond
5e713be0853d8986528d7869a0811d2b,belem,PA,Inactive Customers,1,4042.74,4042.74,620,0.18271455,0.2039306539039039,824.4386117634684,4042.74,4867.178611763468,Diamond
bc5e25094a7d51b6aee35236572e64f4,para de minas,MG,Growing Customers,1,3826.8,3826.8,265,0.24011831,0.26799991556556557,1025.5820768863064,3826.8,4852.382076886306,Diamond
fff5eb4918b2bf4b2da476788d42051c,campina grande,PB,VIP Customers,1,2844.96,2844.96,108,0.6100395,0.6808749174174173,1937.0619050558557,2844.96,4782.021905055855,Diamond
9b11e010850a4045d2da80c7783fdbd1,sao paulo,SP,High-Value Customers,1,3256.14,3256.14,133,0.40028095,0.44676001926926934,1454.7131691434386,3256.14,4710.853169143438,Diamond
03796b63235e0e0a299084988c662c7e,brasilia,DF,Inactive Customers,1,3602.47,3602.47,603,0.25864285,0.2886754532032032,1039.9446599009434,3602.47,4642.414659900944,Diamond
59d66d72939bc9497e19d89c61a96d5f,sao paulo,SP,At-Risk Customers,2,3559.99,1779.995,433,0.5292834,0.5907417327327327,1051.5173305556004,3559.99,4611.5073305556,Diamond
5599df2eeb9e2e4f377db24e09cb976f,sao paulo,SP,Inactive Customers,1,2913.47,2913.47,351,0.4971687,0.5548979984984985,1616.6786716854203,2913.47,4530.14867168542,Diamond
3fec1a05177762f279472253113d568a,recife,PE,High-Value Customers,1,3792.59,3792.59,211,0.16754541,0.1870001322822823,709.2148316924611,3792.59,4501.804831692461,Diamond
2c3b08cf3584d8c0a81d9618a73aa219,presidente prudente,SP,High-Value Customers,1,3526.46,3526.46,192,0.24265729,0.2708337120620621,955.0842522383795,3526.46,4481.544252238379,Diamond
bef3ce10ea5715fbcbcbe3b266ee94c5,piraju,SP,VIP Customers,1,2467.17,2467.17,146,0.7174311,0.800736412912913,1975.5528558463516,2467.17,4442.722855846352,Diamond
26b5839e505ee33e6a449f7c2c403f99,olimpia,SP,High-Value Customers,1,2607.09,2607.09,139,0.62650895,0.6992567359859859,1823.0252438217042,2607.09,4430.115243821704,Diamond
f44ffa618df5f8a65899275c93b14ae2,martinopolis,SP,VIP Customers,1,2638.64,2638.64,160,0.5925692,0.6613760340340341,1745.1332584435636,2638.64,4383.7732584435635,Diamond
6f00d356a4be20527662aaf12116baab,trindade,PE,At-Risk Customers,1,3184.55,3184.55,331,0.32636634,0.36426273183183183,1160.0128826550601,3184.55,4344.56288265506,Diamond
95a744604de66a2e40e18086e69be4f2,joao pessoa,PB,High-Value Customers,1,3406.47,3406.47,104,0.2397218,0.2675573643643644,911.4261349862763,3406.47,4317.896134986277,Diamond
76a08544f95591acec0d4c976054c459,luis eduardo magalhaes,BA,Growing Customers,1,3358.24,3358.24,249,0.250957,0.28009715215215214,940.6334602434433,3358.24,4298.873460243443,Diamond
ea984b06b18cc6905bc2f9b0a3d1c986,monte alegre do sul,SP,At-Risk Customers,1,3024.08,3024.08,570,0.37631547,0.4200117608108108,1270.1491656327566,3024.08,4294.229165632756,Diamond
fc54c2c09aee36da48881e5bf37ef795,ibotirama,BA,Growing Customers,1,2732.06,2732.06,307,0.51156133,0.5709618447947948,1559.9020176900672,2732.06,4291.962017690067,Diamond
0f75637a7e2f7b6ae43665d1f7d0ca5d,campo grande,MS,Inactive Customers,1,3044.12,3044.12,588,0.36681747,0.40941088993993996,1246.29587828397,3044.12,4290.4158782839695,Diamond
2ae8173a688e326821403a5b7a6858c2,varginha,MG,Inactive Customers,1,3042.36,3042.36,576,0.36054078,0.4024053750750751,1224.2620169134057,3042.36,4266.622016913406,Diamond
6172bd5b7f52ade8c6c4548b448ff54f,rio de janeiro,RJ,Inactive Customers,1,3041.73,3041.73,469,0.3600698,0.4018797067067067,1222.409560280991,3041.73,4264.139560280991,Diamond
ff0ae98646e7bbb41cf0f0d3991fef98,eunapolis,BA,At-Risk Customers,1,3048.27,3048.27,499,0.35038927,0.39107511116116117,1192.1025290992327,3048.27,4240.372529099232,Diamond
5aad27a7b4f74b1c3389d56c74db1057,mafra,SC,Inactive Customers,1,3782.19,3782.19,596,0.10551976,0.11777230470470472,445.43723313108717,3782.19,4227.627233131087,Diamond
c6111f70f40b3420e387493c627c27fa,angra dos reis,RJ,At-Risk Customers,1,3126.5,3126.5,373,0.30905867,0.3449453624124124,1078.4716755824074,3126.5,4204.971675582407,Diamond
